date,season,ranking,acousticness,danceability,duration,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2/1/2014,0,1,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
2/1/2014,0,2,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
2/1/2014,0,3,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
2/1/2014,0,4,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
2/1/2014,0,5,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
2/1/2014,0,6,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
2/1/2014,0,7,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
2/1/2014,0,8,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
2/1/2014,0,9,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
2/1/2014,0,10,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
1/25/2014,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
1/25/2014,0,2,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
1/25/2014,0,3,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
1/25/2014,0,4,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
1/25/2014,0,5,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
1/25/2014,0,6,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
1/25/2014,0,7,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
1/25/2014,0,8,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
1/25/2014,0,9,0.380999,0.493025,212.55791,0.290061,4,0.296237,-18.892,0,0.046432,76.519,4,0.426887
1/25/2014,0,10,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
1/18/2014,0,1,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
1/18/2014,0,2,0.026808,0.586814,178.11955,0.972742,11,0.457417,-3.862,1,0.104483,129.963,4,0.757586
1/18/2014,0,3,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
1/18/2014,0,4,0.180361,0.791806,190.18481,0.421895,7,0.122367,-9.567,1,0.106567,84.981,4,0.328322
1/18/2014,0,5,0.090109,0.749624,239.33288,0.786797,10,0.14464,-9.644,1,0.184007,124.993,4,0.78315
1/18/2014,0,6,0.067378,0.78258,250.30621,0.706805,9,0.086758,-8.787,1,0.087757,110.025,4,0.589566
1/18/2014,0,7,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
1/18/2014,0,8,0.000362,0.83642,317.53601,0.413563,2,0.122944,-13.295,1,0.405226,139.998,4,0.203645
1/18/2014,0,9,0.853131,0.455703,231.23955,0.129309,2,0.087296,-9.936,1,0.034413,139.621,3,0.081251
1/18/2014,0,10,0.004232,0.629874,205.322,0.309857,6,0.136205,-18.184,1,0.132728,135.922,4,0.362971
1/11/2014,0,1,0.110627,0.577656,277.91955,0.623461,0,0.194966,-6.526,1,0.031594,119.762,4,0.200785
1/11/2014,0,2,0.320161,0.520518,259.00803,0.252133,5,0.096628,-15.694,1,0.054549,119.75,4,0.179288
1/11/2014,0,3,0.010673,0.570087,323.54639,0.6057,5,0.192739,-6.956,0,0.050454,139.923,4,0.416012
